time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-10T14:36:16.680Z,35.5701675,-120.8251648,3.15,1.35,md,16,87,0.07571,0.04,nc,nc72762471,2017-02-10T14:52:03.667Z,"11km WNW of Templeton, California",earthquake,0.42,1.56,0.13,7,automatic,nc,nc
2017-02-10T14:03:43.690Z,9.9108,125.4605,15,6.5,mww,,36,2.825,0.96,us,us20008ixa,2017-02-10T16:49:33.053Z,"10km SSW of Basilisa, Philippines",earthquake,6.5,1.7,,,reviewed,us,us
2017-02-10T13:57:12.610Z,33.6358333,-116.677,14.41,0.88,ml,34,54,0.0621,0.17,ci,ci37580975,2017-02-10T14:11:39.280Z,"9km N of Anza, CA",earthquake,0.26,0.37,0.186,28,reviewed,ci,ci
2017-02-10T13:35:34.785Z,63.1237,-150.6511,121.1,2,ml,,,,0.36,ak,ak15253020,2017-02-10T13:53:33.148Z,"90km WSW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-02-10T13:04:33.457Z,63.1056,-148.464,67,2.5,ml,,,,0.5,ak,ak15253013,2017-02-10T13:14:14.419Z,"40km SE of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-02-10T12:38:41.160Z,18.3055,-155.459671,12.06,2.53,md,55,314,0.6987,0.11,hv,hv61600551,2017-02-10T12:43:57.870Z,"90km SSE of Hawaiian Ocean View, Hawaii",earthquake,6.57,9.13,0.12,13,automatic,hv,hv
2017-02-10T12:32:25.000Z,18.4066,-67.3588,19,1.8,Md,5,172.8,0.11678099,0.2,pr,pr17041006,2017-02-10T16:01:32.850Z,"13km WNW of Rincon, Puerto Rico",earthquake,1.6,1.3,0,4,reviewed,pr,pr
2017-02-10T12:27:36.420Z,39.9923,42.762,10,4.3,mb,,75,0.672,1.47,us,us20008iwv,2017-02-10T14:50:34.040Z,"22km NNE of Eleskirt, Turkey",earthquake,5.6,2,0.102,27,reviewed,us,us
2017-02-10T12:27:15.050Z,33.4915,-116.4876667,13.51,0.21,ml,24,97,0.07512,0.13,ci,ci37580967,2017-02-10T15:51:15.306Z,"19km ESE of Anza, CA",earthquake,0.23,0.47,0.089,5,reviewed,ci,ci
2017-02-10T12:13:49.597Z,65.3928,-144.7485,0,2,ml,,,,0.88,ak,ak15253009,2017-02-10T12:32:35.007Z,"9km SSW of Circle Hot Springs Station, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-02-10T11:57:02.680Z,-14.7009,-77.3749,10,4.5,mb,,147,2.746,1,us,us20008iwp,2017-02-10T14:40:46.040Z,"151km SW of Paracas, Peru",earthquake,6.1,1.9,0.113,23,reviewed,us,us
2017-02-10T11:34:51.060Z,33.2093333,-115.581,3.22,1.54,ml,30,90,0.04305,0.23,ci,ci37580943,2017-02-10T15:47:55.823Z,"7km WSW of Niland, CA",earthquake,0.22,0.26,0.244,30,reviewed,ci,ci
2017-02-10T10:52:55.000Z,62.8723,-148.7701,70.1,1.8,ml,,,,0.44,ak,ak15253002,2017-02-10T11:07:07.898Z,"58km S of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-02-10T10:30:11.966Z,61.724,-148.1694,3.3,1.4,ml,,,,0.62,ak,ak15252996,2017-02-10T10:38:21.177Z,"36km ESE of Sutton-Alpine, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-02-10T10:20:30.237Z,61.7483,-148.1738,7.3,1.6,ml,,,,0.45,ak,ak15252994,2017-02-10T10:26:28.401Z,"36km E of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-02-10T10:10:32.620Z,34.1305,-117.046,9.67,3.44,ml,165,17,0.04951,0.16,ci,ci37580807,2017-02-10T17:13:53.062Z,"10km SE of Running Springs, CA",earthquake,0.09,0.2,0.142,345,reviewed,ci,ci
2017-02-10T10:10:17.582Z,65.2256,-149.0539,10.2,1.1,ml,,,,0.76,ak,ak15252992,2017-02-10T10:19:36.623Z,"64km NW of Ester, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-02-10T09:47:37.750Z,33.5986667,-116.815,8.53,0.49,ml,21,77,0.04154,0.16,ci,ci37580791,2017-02-10T14:11:15.727Z,"14km WNW of Anza, CA",earthquake,0.34,0.64,0.084,11,reviewed,ci,ci
2017-02-10T09:10:52.940Z,33.6538333,-116.7523333,12.41,1.04,ml,41,30,0.06078,0.17,ci,ci37580783,2017-02-10T14:11:31.907Z,"10km SSW of Idyllwild, CA",earthquake,0.22,0.41,0.249,28,reviewed,ci,ci
2017-02-10T08:55:26.560Z,39.5591,26.2027,7.02,4.5,mwr,,35,1.298,0.81,us,us20008ivd,2017-02-10T09:13:22.469Z,"13km WNW of Behram, Turkey",earthquake,3.6,3.2,0.06,27,reviewed,us,us
2017-02-10T08:46:11.790Z,19.4986668,-155.6710052,2.15,2.28,ml,39,49,0.03046,0.31,hv,hv61600246,2017-02-10T08:51:51.430Z,"20km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.39,0.57,0.23,6,automatic,hv,hv
2017-02-10T08:45:06.220Z,-29.7725,-66.7322,37.85,4.5,mb,,52,2.439,0.77,us,us20008iv8,2017-02-10T09:29:08.908Z,"41km SSE of La Rioja, Argentina",earthquake,7.1,7.3,0.181,9,reviewed,us,us
2017-02-10T08:36:15.753Z,65.4715,-150.076,3.9,1.2,ml,,,,0.39,ak,ak15252951,2017-02-10T08:45:28.488Z,"58km NNE of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-02-10T08:30:37.970Z,-10.3527,161.4364,54.06,4.9,mb,,92,1.725,0.91,us,us20008iv3,2017-02-10T08:49:38.040Z,"54km WNW of Kirakira, Solomon Islands",earthquake,5.1,8,0.083,46,reviewed,us,us
2017-02-10T08:12:15.807Z,63.0186,-152.828,15.6,1.5,ml,,,,0.89,ak,ak15252950,2017-02-10T08:21:33.570Z,"140km E of McGrath, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-02-10T08:03:28.500Z,17.538,-65.7819,32,2.2,Md,4,320.4,0.59737966,0.34,pr,pr17041005,2017-02-10T11:24:16.059Z,"52km SSE of Emajagua, Puerto Rico",earthquake,3.7,13.7,0,3,reviewed,pr,pr
2017-02-10T07:46:03.570Z,34.1948333,-117.5313333,8.71,1.04,ml,23,51,0.02852,0.16,ci,ci37580775,2017-02-10T14:11:30.757Z,"8km SSW of Lytle Creek, CA",earthquake,0.26,0.64,0.224,28,reviewed,ci,ci
2017-02-10T07:18:25.520Z,-21.1055,-175.1961,38.54,5.2,mb,,36,5.347,1.3,us,us20008iul,2017-02-10T07:37:00.040Z,"3km N of Nuku`alofa, Tonga",earthquake,8.8,7,0.041,196,reviewed,us,us
2017-02-10T07:11:37.040Z,38.8223343,-122.796669,2.28,2.28,md,31,46,0.01052,0.04,nc,nc72762411,2017-02-10T07:22:02.997Z,"6km W of Cobb, California",earthquake,0.2,0.31,0.18,14,automatic,nc,nc
2017-02-10T06:57:21.710Z,34.1658333,-116.801,-0.18,1.14,ml,28,61,0.1331,0.25,ci,ci37580759,2017-02-10T14:11:44.961Z,"11km SSE of Big Bear City, CA",earthquake,0.34,0.9,0.122,27,reviewed,ci,ci
2017-02-10T06:46:36.760Z,38.8359985,-122.8304977,2.06,0.85,md,10,76,0.004677,0.01,nc,nc72762406,2017-02-10T07:03:03.739Z,"9km W of Cobb, California",earthquake,0.32,0.7,0.05,2,automatic,nc,nc
2017-02-10T06:08:27.410Z,35.9878333,-117.9241667,4.97,0.67,ml,18,138,0.03383,0.11,ci,ci37580751,2017-02-10T15:33:02.349Z,"6km NNW of Little Lake, CA",earthquake,0.21,0.46,0.157,6,reviewed,ci,ci
2017-02-10T05:25:27.530Z,33.3821667,-116.359,4.36,0.88,ml,41,117,0.05571,0.19,ci,ci37580743,2017-02-10T15:30:17.497Z,"14km N of Borrego Springs, CA",earthquake,0.25,0.54,0.149,23,reviewed,ci,ci
2017-02-10T05:10:04.070Z,38.7941666,-122.8570023,4.45,0.94,md,10,199,0.03333,0.17,nc,nc72762401,2017-02-10T05:27:03.552Z,"8km WNW of The Geysers, California",earthquake,1.15,2.25,0.08,4,automatic,nc,nc
2017-02-10T04:55:04.340Z,35.5704994,-120.8351669,5.21,2.69,md,50,54,0.06883,0.06,nc,nc72762396,2017-02-10T15:57:20.996Z,"11km W of Templeton, California",earthquake,0.18,0.58,0.14,47,automatic,nc,nc
2017-02-10T04:50:32.187Z,61.7456,-148.1921,17.3,1.1,ml,,,,0.31,ak,ak15252852,2017-02-10T04:58:16.105Z,"35km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-02-10T04:49:01.880Z,36.1042,70.4583,115.95,4.6,mb,,69,1.023,1.08,us,us20008iua,2017-02-10T05:07:42.040Z,"29km WNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,5,5.4,0.065,70,reviewed,us,us
2017-02-10T04:46:20.039Z,61.6972,-148.1694,0,2.8,ml,,,,1.1,ak,ak15252838,2017-02-10T04:55:05.277Z,"37km ESE of Sutton-Alpine, Alaska",earthquake,,0.5,,,automatic,ak,ak
